snr,NRZ
-60, 0.496551
-59, 0.497483
-58, 0.496264
-57, 0.496079
-56, 0.495132
-55, 0.494158
-54, 0.494262
-53, 0.493573
-52, 0.4931
-51, 0.491665
-50, 0.49095
-49, 0.490193
-48, 0.487825
-47, 0.487925
-46, 0.486094
-45, 0.484783
-44, 0.481461
-43, 0.480089
-42, 0.47764
-41, 0.47493
-40, 0.470864
-39, 0.468624
-38, 0.465338
-37, 0.459798
-36, 0.454839
-35, 0.449989
-34, 0.442952
-33, 0.437657
-32, 0.429975
-31, 0.420897
-30, 0.412172
-29, 0.401416
-28, 0.388376
-27, 0.375185
-26, 0.361908
-25, 0.344737
-24, 0.328552
-23, 0.308388
-22, 0.287655
-21, 0.263795
-20, 0.239404
-19, 0.214426
-18, 0.186952
-17, 0.158545
-16, 0.131477
-15, 0.104304
-14, 0.078962
-13, 0.056464
-12, 0.03795
-11, 0.023139
-10, 0.012784
-9, 0.005985
-8, 0.002438
-7, 7.55E-4
-6, 1.91E-4
-5, 4.2E-5
-4, 6.0E-6
-3, 0.0
-2, 0.0
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
