snr,RZ
-60, 0.49982749982749985
-59, 0.4998994998994999
-58, 0.4982024982024982
-57, 0.49814049814049816
-56, 0.4991234991234991
-55, 0.4990844990844991
-54, 0.49885549885549885
-53, 0.4989024989024989
-52, 0.4989044989044989
-51, 0.49853449853449855
-50, 0.4978864978864979
-49, 0.498028498028498
-48, 0.49752149752149755
-47, 0.49694649694649695
-46, 0.497991497991498
-45, 0.49694449694449694
-44, 0.49624449624449624
-43, 0.4955334955334955
-42, 0.4962174962174962
-41, 0.49457049457049457
-40, 0.4942344942344942
-39, 0.4937834937834938
-38, 0.4927774927774928
-37, 0.4907894907894908
-36, 0.4902244902244902
-35, 0.4893814893814894
-34, 0.48843548843548845
-33, 0.48704448704448705
-32, 0.48425748425748427
-31, 0.4837914837914838
-30, 0.48225548225548226
-29, 0.47984847984847984
-28, 0.47734747734747734
-27, 0.4741324741324741
-26, 0.47086347086347086
-25, 0.46700646700646703
-24, 0.464022464022464
-23, 0.45876045876045873
-22, 0.4534024534024534
-21, 0.4487984487984488
-20, 0.44172144172144173
-19, 0.4348724348724349
-18, 0.4275024275024275
-17, 0.4188054188054188
-16, 0.40883240883240884
-15, 0.3976913976913977
-14, 0.38603038603038603
-13, 0.3715683715683716
-12, 0.3576013576013576
-11, 0.3398153398153398
-10, 0.322964322964323
-9, 0.3026153026153026
-8, 0.2800932800932801
-7, 0.25734525734525737
-6, 0.23324323324323323
-5, 0.20595520595520594
-4, 0.17911417911417912
-3, 0.15096515096515095
-2, 0.12344512344512344
-1, 0.09695309695309695
0, 0.0724090724090724
1, 0.050686050686050685
2, 0.03316803316803317
3, 0.019924019924019924
4, 0.010561010561010562
5, 0.004867004867004867
6, 0.001836001836001836
7, 5.39000539000539E-4
8, 1.43000143000143E-4
9, 1.5000015000015E-5
10, 3.000003000003E-6
