snr,NRZ
-60, 0.49755349755349754
-59, 0.4985184985184985
-58, 0.4983134983134983
-57, 0.49746349746349744
-56, 0.4972084972084972
-55, 0.49764749764749766
-54, 0.4974064974064974
-53, 0.4966264966264966
-52, 0.4958564958564959
-51, 0.4957134957134957
-50, 0.49484549484549484
-49, 0.4944094944094944
-48, 0.49315849315849314
-47, 0.4928234928234928
-46, 0.4912934912934913
-45, 0.4911144911144911
-44, 0.4898054898054898
-43, 0.48752048752048754
-42, 0.48585248585248586
-41, 0.48493648493648495
-40, 0.48234548234548236
-39, 0.48034448034448035
-38, 0.47854247854247856
-37, 0.4755754755754756
-36, 0.47346547346547346
-35, 0.4696734696734697
-34, 0.46683946683946687
-33, 0.4618274618274618
-32, 0.4577914577914578
-31, 0.45253245253245256
-30, 0.4468114468114468
-29, 0.4404784404784405
-28, 0.43319243319243317
-27, 0.42554542554542557
-26, 0.41584641584641585
-25, 0.4064024064024064
-24, 0.39494739494739495
-23, 0.38136138136138137
-22, 0.36752836752836754
-21, 0.3525983525983526
-20, 0.33657333657333655
-19, 0.3173233173233173
-18, 0.2966572966572967
-17, 0.2737922737922738
-16, 0.24975524975524976
-15, 0.22448322448322447
-14, 0.199009199009199
-13, 0.17183717183717184
-12, 0.1430961430961431
-11, 0.11588011588011587
-10, 0.08973508973508973
-9, 0.06601706601706601
-8, 0.045563045563045565
-7, 0.029028029028029027
-6, 0.01678001678001678
-5, 0.008653008653008653
-4, 0.003661003661003661
-3, 0.001299001299001299
-2, 4.21000421000421E-4
-1, 7.4000074000074E-5
0, 5.000005000005E-6
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
