snr,NRZT
-60, 0.49835949835949833
-59, 0.49854149854149854
-58, 0.49824549824549824
-57, 0.4984144984144984
-56, 0.496998496998497
-55, 0.49704449704449705
-54, 0.4970904970904971
-53, 0.49604349604349607
-52, 0.4961524961524961
-51, 0.4955434955434955
-50, 0.49522249522249523
-49, 0.4935964935964936
-48, 0.49405149405149407
-47, 0.49287349287349286
-46, 0.4918374918374918
-45, 0.4901224901224901
-44, 0.48957448957448957
-43, 0.4885924885924886
-42, 0.48804048804048805
-41, 0.4849144849144849
-40, 0.48427048427048425
-39, 0.48127748127748127
-38, 0.48004748004748005
-37, 0.477018477018477
-36, 0.47454347454347456
-35, 0.47027947027947026
-34, 0.4678994678994679
-33, 0.4630634630634631
-32, 0.45896945896945895
-31, 0.4528934528934529
-30, 0.4495744495744496
-29, 0.4419254419254419
-28, 0.43478843478843476
-27, 0.4276024276024276
-26, 0.41895941895941896
-25, 0.4083964083964084
-24, 0.39783339783339783
-23, 0.385990385990386
-22, 0.37233437233437233
-21, 0.3571993571993572
-20, 0.3402313402313402
-19, 0.3221853221853222
-18, 0.3018873018873019
-17, 0.28015728015728014
-16, 0.25704625704625705
-15, 0.23267523267523268
-14, 0.205002205002205
-13, 0.1786061786061786
-12, 0.15046315046315045
-11, 0.1229101229101229
-10, 0.09728309728309728
-9, 0.0724000724000724
-8, 0.051106051106051105
-7, 0.03364603364603365
-6, 0.020178020178020176
-5, 0.011072011072011072
-4, 0.005126005126005126
-3, 0.001998001998001998
-2, 7.13000713000713E-4
-1, 1.47000147000147E-4
0, 2.7000027000027E-5
1, 4.000004000004E-6
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
