snr,NRZ,NRZT,RZ
-60, 0.498994, 0.498594, 0.499073
-59, 0.49899, 0.498656, 0.499624
-58, 0.497829, 0.498605, 0.498973
-57, 0.497696, 0.497956, 0.499065
-56, 0.497634, 0.498496, 0.498543
-55, 0.496741, 0.497864, 0.497997
-54, 0.497, 0.496954, 0.498491
-53, 0.498094, 0.497342, 0.49817
-52, 0.497236, 0.497202, 0.49752
-51, 0.495671, 0.495758, 0.498359
-50, 0.496627, 0.495628, 0.49732
-49, 0.495108, 0.496147, 0.496984
-48, 0.494542, 0.495141, 0.495783
-47, 0.494172, 0.494856, 0.495946
-46, 0.493763, 0.494768, 0.495386
-45, 0.492507, 0.49302, 0.494859
-44, 0.492529, 0.491561, 0.494453
-43, 0.491419, 0.491196, 0.49456
-42, 0.489808, 0.490167, 0.493087
-41, 0.488593, 0.488495, 0.492707
-40, 0.487625, 0.487844, 0.491548
-39, 0.485994, 0.486685, 0.490174
-38, 0.483857, 0.484608, 0.489628
-37, 0.481965, 0.482552, 0.487992
-36, 0.479394, 0.480671, 0.486771
-35, 0.477736, 0.478219, 0.484883
-34, 0.475848, 0.47652, 0.483235
-33, 0.471586, 0.473412, 0.48192
-32, 0.468349, 0.470252, 0.478739
-31, 0.465212, 0.466816, 0.476731
-30, 0.460182, 0.462529, 0.472945
-29, 0.455312, 0.457239, 0.469988
-28, 0.449418, 0.451452, 0.467049
-27, 0.443927, 0.44629, 0.462979
-26, 0.43635, 0.439305, 0.457272
-25, 0.428656, 0.431878, 0.452647
-24, 0.421057, 0.425476, 0.44796
-23, 0.412073, 0.414936, 0.440525
-22, 0.4003, 0.406301, 0.434103
-21, 0.389281, 0.39529, 0.425788
-20, 0.375643, 0.381742, 0.416461
-19, 0.361811, 0.367439, 0.406488
-18, 0.345251, 0.3522, 0.395466
-17, 0.328761, 0.33545, 0.383804
-16, 0.308542, 0.317247, 0.368571
-15, 0.286856, 0.296718, 0.353116
-14, 0.263359, 0.274368, 0.337033
-13, 0.23931, 0.250783, 0.318008
-12, 0.213017, 0.225566, 0.298447
-11, 0.186696, 0.199631, 0.276353
-10, 0.158324, 0.172437, 0.252951
-9, 0.130645, 0.144999, 0.227734
-8, 0.104535, 0.117648, 0.200666
-7, 0.079066, 0.091938, 0.173336
-6, 0.056806, 0.068793, 0.145291
-5, 0.037731, 0.048312, 0.118224
-4, 0.022831, 0.031365, 0.091691
-3, 0.012531, 0.01888, 0.067874
-2, 0.006075, 0.010214, 0.047244
-1, 0.002432, 0.004896, 0.03012
0, 7.74E-4, 0.002005, 0.017759
1, 1.98E-4, 6.9E-4, 0.008888
2, 4.2E-5, 2.03E-4, 0.004023
3, 4.0E-6, 3.5E-5, 0.001392
4, 0.0, 5.0E-6, 3.96E-4
5, 0.0, 1.0E-6, 9.2E-5
6, 0.0, 0.0, 1.5E-5
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.0, 0.0, 0.0
