java -Xmx30G Simulateur  -mess  999999 -nbEch  50 -snr  -6  -seed  10  -ampl  -1  1  -form  NRZT
tau,teb
75, 0.0661030661030661
76, 0.06602506602506603
77, 0.06617806617806618
78, 0.06646206646206647
79, 0.06696806696806697
80, 0.06674706674706675
81, 0.06666006666006666
82, 0.06678206678206679
83, 0.06678606678606679
84, 0.0668880668880669
85, 0.06686806686806687
86, 0.06678706678706679
87, 0.06687806687806688
88, 0.06691306691306691
89, 0.06687006687006687
90, 0.06704606704606704
91, 0.066998066998067
92, 0.06704706704706705
93, 0.06694606694606695
94, 0.06676906676906677
95, 0.06684406684406684
96, 0.0668900668900669
97, 0.06722906722906723
98, 0.06712206712206713
99, 0.0671040671040671
100, 0.06675806675806675
101, 0.06700606700606701
102, 0.06722806722806723
103, 0.06737406737406737
104, 0.06744306744306744
105, 0.06736906736906736
106, 0.06768906768906768
107, 0.06758706758706759
108, 0.06787106787106788
109, 0.06770106770106771
110, 0.06774406774406774
111, 0.06757906757906758
112, 0.06723106723106723
113, 0.06715506715506715
114, 0.06717006717006717
115, 0.06714106714106714
116, 0.06697606697606698
117, 0.06678506678506678
118, 0.06646306646306646
119, 0.0667090667090667
120, 0.0666910666910667
121, 0.06664906664906665
122, 0.06653106653106654
123, 0.06644106644106644
124, 0.06657506657506658
125, 0.0666910666910667
