tau,NRZ,NRZT,RZ
45, 1.000001000001E-5, 2.8000028000028E-5, 0.06937306937306938
46, 1.6000016000016E-5, 3.7000037000037E-5, 0.06905906905906906
47, 1.6000016000016E-5, 3.4000034000034E-5, 0.06924806924806924
48, 1.4000014000014E-5, 4.1000041000041E-5, 0.06931506931506931
49, 1.3000013000013E-5, 3.3000033000033E-5, 0.06935106935106936
50, 1.1000011000011E-5, 3.2000032000032E-5, 0.06932706932706932
51, 1.2000012000012E-5, 2.9000029000029E-5, 0.06947906947906948
52, 9.000009000009E-6, 3.1000031000031E-5, 0.06907606907606907
53, 1.000001000001E-5, 3.5000035000035E-5, 0.06911906911906912
54, 7.000007000007E-6, 2.5000025000025E-5, 0.06937706937706938
55, 9.000009000009E-6, 2.6000026000026E-5, 0.0694110694110694
56, 6.000006000006E-6, 3.000003000003E-5, 0.06968406968406968
57, 6.000006000006E-6, 2.5000025000025E-5, 0.06956006956006956
58, 7.000007000007E-6, 3.2000032000032E-5, 0.0694890694890695
59, 7.000007000007E-6, 2.8000028000028E-5, 0.06943406943406943
60, 1.2000012000012E-5, 3.1000031000031E-5, 0.0693980693980694
61, 8.000008000008E-6, 2.7000027000027E-5, 0.06938706938706939
62, 1.000001000001E-5, 2.8000028000028E-5, 0.06947606947606948
63, 1.2000012000012E-5, 3.6000036000036E-5, 0.06978906978906979
64, 1.1000011000011E-5, 2.8000028000028E-5, 0.06968306968306968
65, 9.000009000009E-6, 2.7000027000027E-5, 0.06943806943806943
66, 1.000001000001E-5, 3.5000035000035E-5, 0.06944006944006945
67, 9.000009000009E-6, 2.9000029000029E-5, 0.06923406923406923
68, 7.000007000007E-6, 2.5000025000025E-5, 0.06935406935406935
69, 1.000001000001E-5, 2.9000029000029E-5, 0.06922906922906923
70, 1.000001000001E-5, 2.7000027000027E-5, 0.0692920692920693
71, 8.000008000008E-6, 2.3000023000023E-5, 0.06923106923106923
72, 1.2000012000012E-5, 3.000003000003E-5, 0.06933506933506933
73, 1.2000012000012E-5, 3.000003000003E-5, 0.06903306903306904
74, 1.4000014000014E-5, 3.000003000003E-5, 0.068998068998069
75, 1.4000014000014E-5, 2.9000029000029E-5, 0.06893506893506894
